,instruction,input,output,predict
0,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{\n  \""name\"": \""sony pink cyber-shot 7.2 megapixel digital camera dscw120p\"",\n  \""description\"": \""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish\"",\n  \""category\"": \""Electronics\"",\n  \""sku\"": \""DSCW120P\"",\n  \""brand\"": \""Sony\"",\n  \""modelno\"": \""DSC-W120\"",\n  \""key_features\"": [\""7.2 Megapixel\"", \""4x Optical Zoom\"", \""2.5\\\"" TFT LCD\"", \""15 MB Internal Memory\"", \""Face Detection\"", \""Super SteadyShot Image Stabilization\"", \""Smile Shutter Mode\"", \""Smart Zoom\"", \""Pink Finish\""]\n}\n""

Entity 2:""{'name': 'olympus fe-360 digital camera pink 226540', 'description': \""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd\"", 'price': 104.95}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
1,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh', 'description': 'lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish', 'price': ''}""

Entity 2:""{'name': 'maytag 2.0 cu . ft. over-the-range microwave oven', 'description': '', 'price': '', 'category': 'Home Appliances', 'sku': 'unknown', 'brand': 'Maytag', 'modelno': 'unknown', 'key_features': ['2.0 cu . ft. capacity', 'over-the-range microwave oven']}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
2,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{\n  \""name\"": \""panasonic black 8.5 ' portable dvd player dvdls83\"",\n  \""description\"": \""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish\"",\n  \""price\"": \""\"",\n  \""category\"": \""Electronics\"",\n  \""sku\"": \""DVDLSD83\"",\n  \""brand\"": \""Panasonic\"",\n  \""modelno\"": \""DVDLS83\"",\n  \""key_features\"": [\""8.5 inch LCD display\"", \""6-hour battery life\"", \""Multi-format playback\"", \""Dual headphone jacks\"", \""DivX playback\"", \""Car DC adapter\"", \""Black finish\""]\n}\n""

Entity 2:""{\n  \""name\"": 'toshiba sd-p71s portable dvd player',\n  \""description\"": \""toshiba sd-p71s 7 ' portable dvd player\"",\n  \""price\"": 119.36,\n  \""category\"": \""Electronics\"",\n  \""sku\"": \""SD-P71S\"",\n  \""brand\"": \""Toshiba\"",\n  \""modelno\"": \""SD-P71\"",\n  \""key_features\"": [\""7' Portable DVD Player\""]\n}\n""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
3,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'sony bravia theater black micro system davis50b', 'description': 'sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound (dcs) technology s-master digital amplifier portable audio enhancer black finish', 'category': 'Home Theater Systems', 'sku': 'davis50b', 'brand': 'Sony', 'modelno': 'DAV-IS50/B', 'key_features': ['5.1-channel surround sound', 'golf ball-sized speakers', 'compact design', 's-air digital wireless capability', 'hdmi connectivity', 'bravia sync digital cinema sound (dcs) technology', 's-master digital amplifier', 'portable audio enhancer', 'black finish']}""

Entity 2:""{'name': 'Sony Bravia DAV-IS50 / B Home Theater System', 'description': 'DVD player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii', 'category': 'Electronics', 'sku': 'DAV-IS50 / B', 'brand': 'Sony', 'modelno': 'DAV-IS50 / B', 'key_features': ['DVD player', '5.1 speakers', 'Progressive scan', '1 disc (s)', '450w RMS', 'Dolby Digital EX', 'Dolby Pro Logic', 'Dolby Pro Logic II']}""",,{'Output': 'match'},  {'Output': 'match'}
4,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t', 'description': 'panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish', 'price': 139.0, 'category': 'Telephones', 'sku': 'KXTG9344T', 'brand': 'Panasonic', 'modelno': 'KXTG9344T', 'key_features': ['DECT 6.0', 'Expandable', 'Digital Cordless', 'All-Digital Answering System', '4 Handsets', 'Up to 6 Multi-Handset Capability', 'Digital Answering Machine', 'Ringer ID', 'Call Waiting', 'Caller ID', 'Voicemail', 'Hold', 'Voice Menu', 'Marker Message', 'Mute', 'Clock', 'Alarm', 'LED Lighting', 'Night Mode', 'Call Block', 'Speakerphone', '11 Days Standby', '5 Hours Talk Time', 'Black Metallic Finish']}""

Entity 2:""{'name': 'panasonic kx-tg9342t cordless phone', 'description': '1 x phone line ( s ) black , metallic', 'price': ''}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
5,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'sony cyber-shot black digital camera dsch10b', 'description': \""sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish\"", 'price': ''}""

Entity 2:""{\n  \""name\"": \""sony handycam dcr-sr85 digital camcorder dcrsr85\"",\n  \""description\"": \""16:9 2.7 ' hybrid lcd\"",\n  \""category\"": \""Camcorder\"",\n  \""sku\"": \""DCR-SR85\"",\n  \""brand\"": \""Sony\"",\n  \""modelno\"": \""DCR-SR85\"",\n  \""key_features\"": [\""16:9 aspect ratio\"", \""2.7' Hybrid LCD\"", ...],\n  \""price\"": 375.8\n}\n""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
6,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'olympus black 10 megapixels digital camera sp565uz', 'description': 'olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish', 'price': ''}""

Entity 2:""{'name': 'olympus ps-bls1 lithium ion digital camera battery 260236', 'description': 'lithium ion ( li-ion ) photo battery', 'price': '', 'category': 'Digital Camera Batteries', 'sku': '260236', 'brand': 'Olympus', 'modelno': 'PS-BLS1', 'key_features': 'Lithium-ion, Compatibility (Check Camera Compatibility)'}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
7,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'canon black rechargeable battery 9612a001', 'description': 'canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish', 'price': ''}""

Entity 2:""{'name': 'canon canon cb-2lw battery charger 0763b001', 'description': '', 'price': '', 'category': 'Camera Chargers', 'sku': '0763b001', 'brand': 'Canon', 'modelno': 'CB-2LW', 'key_features': []}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
8,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{\n  \""name\"": \""Canon Silver PowerShot Digital Camera SD880IS\"",\n  \""category\"": \""Digital Camera\"",\n  \""sku\"": \""SD880IS\"",\n  \""brand\"": \""Canon\"",\n  \""modelno\"": \""SD880IS\"",\n  \""brand_url\"": \""https://www.canon.com/\"",\n  \""key_features\"": [\n    \""10 Megapixel\"",\n    \""4x Optical Zoom\"",\n    \""Optical Image Stabilizer\"",\n    \""3.0\\\"" PureColor LCD II\"",\n    \""DIGIC 4 Image Processor\"",\n    \""Face Detection\"",\n    \""Self-Timer\"",\n    \""Red-Eye Correction\"",\n    \""19 Shooting Modes\"",\n    \""Print/Share Button\"",\n    \""Silver Finish\""\n  ]\n}\n""

Entity 2:""{'name': 'canon dc310 digital camcorder 2694b001', 'description': 'canon dc310 dvd camcorder w / 41x advanced zoom , built-in lens cover , image stabilization , & canon exclusive - digic dv ii', 'price': 289.95}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
9,"You are an expert in detecting if two text descriptions of entities refer to the same or different entities. You are well-known to examine the fine details and can find subtle matches or mismatches to help you arrive at the final judgement. 

Judge whether Entity 1 and Entity 2 are match or mismatch, and choose within the given Options.

Return in JSON format.

Options: [match,mismatch]

Output format example:{""Output"": """"}

Entity 1:""{'name': 'audiovox commander mt xm satellite radio receiver xmrvrfm002', 'description': 'audiovox commander mt xm satellite radio receiver xmrvrfm002 , dual line display tuneselect feature universal connector scan and jump features full function remote black finish', 'price': '', 'category': 'Electronics', 'sku': 'XMVRRFM002', 'brand': 'Audiovox', 'modelno': 'MT', 'key_features': ['Dual line display', 'TuneSelect feature', 'Universal connector', 'Scan and jump features', 'Full function remote', 'Black finish']}""

Entity 2:""{'name': 'directed electronics sportster 4 sirius satellite radio receiver sp4tk1', 'description': 'xs fm transmitter 6 lines lcd', 'price': 169.99, 'category': 'Electronics', 'sku': 'SP4TK1', 'brand': 'Directed Electronics', 'modelno': 'Sportster 4', 'key_features': ['Sirius compatibility', 'FM transmitter', '6 lines', 'LCD display']}""",,{'Output': 'mismatch'},  {'Output': 'mismatch'}
